arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
خصوصاً إذا الجو حلو,خصوصاً إذا الجو حلو,Khuṣooṣan idha al-jaww ḥilw.,Especially when the weather's nice.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خصوصا__إذا_الجو_حلو.mp3
في الحقيقة...,في الحقيقة...,fi al-ḥaqeeqah...,The fact is...,Phrase / Idiom,,Idiomatic phrase,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\في_الحقيقة....mp3
كون إنه...,كون إنه...,kawn innuh...,The fact that...,Phrase / Idiom,,Idiomatic phrase,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كون_إنه....mp3
سهلة من مايّه,سهلة من مايّه,sahla min maayyah,Easier than water,Phrase / Idiom,,"Idiomatic expression (""piece of cake"")",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\سهلة_من_ماي_ه.mp3
حبيبة قلبي,حبيبة قلبي,ḥabībat qalbi,Beloved of my heart / sweetheart,Phrase / Idiom,,Affectionate expression,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حبيبة_قلبي.mp3
ما هو في مزاج,ما هو في مزاج,maa huwa fi mazaaj,He isn’t really in the mood,Phrase / Idiom,,Using Moo + Huwa (He) + Fi + Noun,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_هو_في_مزاج.mp3
ما يتقبلون الأجانب كثير,ما يتقبلون الأجانب كثير,maa yitqabbaloon al-ajaanib kathiir,They’re not very accepting of foreigners,Phrase / Idiom,,"Using Kathiir to mean ""very"" with negation",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_يتقبلون_الأجانب_كثير.mp3
وبعدين جا واحد غريب عندنا,وبعدين جا واحد غريب عندنا,w-baʿdayn jaa waaḥid ghareeb ʿindina,And then this stranger walked up to us,Phrase / Idiom,,Common narrative phrase structure,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وبعدين_جا_واحد_غريب_عندنا.mp3
ما تحب الأكل الإيطالي مره,ما تحب الأكل الإيطالي مره,maa tiḥibb al-akl al-iṭaali marrah,She’s not very into Italian food,Phrase / Idiom,,"Using Marrah to mean ""very"" with negation",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_تحب_الأكل_الإيطالي_مره.mp3
كل شي صار بسرعة,كل شي صار بسرعة,kull shay ṣar bisurʿah,It all happened too fast,Phrase / Idiom,,Using Kull Shay + Ṣar + Bisurʿah,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كل_شي_صار_بسرعة.mp3
الوقت طار بسرعة,الوقت طار بسرعة,al-waqt ṭaar bisurʿah,It went by so fast,Phrase / Idiom,,Idiomatic use of Ṭaar,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الوقت_طار_بسرعة.mp3
انبسطت مره,انبسطت مره,inbasaṭt marrah,I had such a good time,Phrase / Idiom,,Common phrases for enjoying oneself,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\انبسطت_مره.mp3
استمتعت كثير,استمتعت كثير,istamtaʿt kathiir,I had such a good time,Phrase / Idiom,,Common phrases for enjoying oneself,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\استمتعت_كثير.mp3
نسيت أرد على رسالتك,نسيت أرد على رسالتك,Naseet arudd ʿala risaaltak.,I forgot to reply to your message.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نسيت_أرد_على_رسالتك.mp3
تذكرت فجأة إن عندي موعد,تذكرت فجأة إن عندي موعد,Tadhakkart fajʾah in ʿindi mawʿid.,I suddenly remembered I have an appointment.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تذكرت_فجأة_إن_عندي_موعد.mp3
أرسلت لك الصورة على واتساب,أرسلت لك الصورة على واتساب,Arsalt lak aṣ-ṣoorah ʿala WhatsApp.,I sent you the photo on WhatsApp.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أرسلت_لك_الصورة_على_واتساب.mp3
قاعد أكمل الشغل اللي بدأته,قاعد أكمل الشغل اللي بدأته,Qaaʿid akammil ash-shughl illi badaʾtuh.,I’m continuing the work I started.,Phrase / Idiom,,Example sentence with continuous + Illi + past verb,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قاعد_أكمل_الشغل_اللي_بدأته.mp3
وصلت متأخر شوي,وصلت متأخر شوي,Wṣalt mitaʾakhkher shwayyah.,I arrived a little late.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وصلت_متأخر_شوي.mp3
نادراً أروح هناك، بس المكان حلو,نادراً أروح هناك، بس المكان حلو,"Naadiran aruuḥ hinaak, bas al-makaan ḥilw.","I rarely go there, but it’s a nice place.",Phrase / Idiom,,Example sentence with Adverb + Bas,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نادرا__أروح_هناك__بس_المكان_حلو.mp3
أنا بالذات ما أحب التأخير,أنا بالذات ما أحب التأخير,Ana bil-dhaat maa aḥibb at-taʾkheer.,I in particular don’t like being late.,Phrase / Idiom,,Example sentence with Bil-dhaat,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أنا_بالذات_ما_أحب_التأخير.mp3
أبغى أطلع شوي أغير جو,أبغى أطلع شوي أغير جو,Abgha aṭlaʿ shway aɣayyir jaww.,I want to go out a bit to change the vibe.,Phrase / Idiom,,"Example sentence with idiomatic ""change the vibe""",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أبغى_أطلع_شوي_أغير_جو.mp3
ما لي خلق أتكلم اليوم,ما لي خلق أتكلم اليوم,Maa li khilq atkallam il-yawm.,I’m not in the mood to talk today.,Phrase / Idiom,,Idiomatic phrase for not having energy/mood,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_لي_خلق_أتكلم_اليوم.mp3
الجو برّا مره حلو,الجو برّا مره حلو,Al-jaww barra marrah ḥilw.,The weather outside is really nice.,Phrase / Idiom,,Example sentence with Saudi adverbs Barra and Marrah,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الجو_بر_ا_مره_حلو.mp3
أقول لك شي بس لا تضحك؟,أقول لك شي بس لا تضحك؟,Aqool lak shay bas laa tiḍḥak?,Can I tell you something — but don’t laugh?,Phrase / Idiom,,Common phrasing to introduce a slightly sensitive topic,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أقول_لك_شي_بس_لا_تضحك_.mp3
قبل شوية,قبل شوية,qabil shwayyah,A little while ago,Phrase / Idiom,,Colloquial time marker,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قبل_شوية.mp3
كانت تسأل عنك,كانت تسأل عنك,kaanat tisaaʾal ʿannak,She was asking about you,Phrase / Idiom,,Past continuous (Kaana + present verb),Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كانت_تسأل_عنك.mp3
مو لازم نخلص كل شي اليوم,مو لازم نخلص كل شي اليوم,Moo laazim nkhalliṣ kull shay il-yawm.,We don’t have to finish everything today.,Phrase / Idiom,,Colloquial negation + Mo Laazim + verb,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مو_لازم_نخلص_كل_شي_اليوم.mp3
مرّيت من هنا قبل كذا,مرّيت من هنا قبل كذا,Mar-rayt min hina qabil kida.,I passed by here before.,Phrase / Idiom,,"Common phrase with Qabil Kida meaning ""before""",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مر_يت_من_هنا_قبل_كذا.mp3
خلك صريح، عادي,خلك صريح، عادي,"Khallik ṣareeḥ, ʿaadi.",Be honest — it’s okay.,Phrase / Idiom,,Imperative Khallik + adjective + ʿAadi,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خلك_صريح__عادي.mp3
أحس إن الوقت يمشي بسرعه,أحس إن الوقت يمشي بسرعه,Aḥyaanan aḥiss in al-waqt yimshi bisurʿah.,Sometimes I feel like time goes by fast.,Phrase / Idiom,,Using Aḥiss + In + verb phrase,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحس_إن_الوقت_يمشي_بسرعه.mp3
ودّي أتعلم أطبخ أكلة جديدة,ودّي أتعلم أطبخ أكلة جديدة,Widdi atʿallam aṭbukh aklah jadeedah.,I’d like to learn to cook a new dish.,Phrase / Idiom,,Using Widdi + sequence of verbs (like infinitives),Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ود_ي_أتعلم_أطبخ_أكلة_جديدة.mp3
كنت بارتياح وأنا معك,كنت بارتياح وأنا معك,Ḥassayt b-irtiyaaḥ wana maʿak.,I felt at ease when I was with you.,Phrase / Idiom,,Using Ḥassayt + phrase + Wana + Maʿak,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_بارتياح_وأنا_معك.mp3
قعدنا نضحك كثير,قعدنا نضحك كثير,Qaʿadna niḍḥak kathiir,We laughed so much,Phrase / Idiom,,Past continuous equivalent with Qaʿadna,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قعدنا_نضحك_كثير.mp3
كانت لحظة حلوة,كانت لحظة حلوة,kaanat laḥẓah ḥilwah,It was such a nice moment,Phrase / Idiom,,Kaana + feminine noun + feminine adjective,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كانت_لحظة_حلوة.mp3
ما كان فيني مزاج أتكلم,ما كان فيني مزاج أتكلم,Maa kaan fiini mazaaj atkallam.,I wasn’t really in the mood to talk.,Phrase / Idiom,,Idiomatic negative phrase,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_كان_فيني_مزاج_أتكلم.mp3
الوقت طار وأنا ما حسّيت,الوقت طار وأنا ما حسّيت,Al-waqt ṭaar wana maa ḥassayt.,Time flew by and I didn’t even notice.,Phrase / Idiom,,Idiomatic use of Ṭaar,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الوقت_طار_وأنا_ما_حس_يت.mp3
صدق كان يوم جميل,صدق كان يوم جميل,ṣidq kaan yawm jameel,"seriously, it was a beautiful day",Phrase / Idiom,,Using Ṣidq as an intensifier,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صدق_كان_يوم_جميل.mp3
مساء الخير,مساء الخير,masāʾ al-khayr,Good evening,Phrase / Idiom,,Common greeting,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مساء_الخير.mp3
طول الوقت,طول الوقت,ṭūl al-waqt,The whole time,Phrase / Idiom,,Common phrase,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طول_الوقت.mp3
أقولك رسالة افتخار,أقولك رسالة افتخار,aqūl lak risālat iftikhār,Let me tell you a message of pride,Phrase / Idiom,,Example phrase structure,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أقولك_رسالة_افتخار.mp3
